dates,gdp,real_gdp,cpi,core_cpi,fedfunds,emratio,wti_oil,gscpi,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
2016.01,0.00997923,0.00320720,0.00796183,0.00657817,0.36,59.8,0.31378506,-0.1823216,0.014964021,0.000579501,0.004240448,0.014263,0.027514367,0.01864087,0.02831523
2016.02,0.00962236,0.00706734,0.00424824,0.00516714,0.37,59.7,-0.012408757,-0.2231436,0.013338928,0.013966834,0.011839965,0.008594,0.015541632,0.007743716,0.01061021
2016.03,0.01035868,0.00552904,0.00629741,0.00461969,0.4,59.8,0.091349779,-1.3862944,0.00746532,0.007443438,0.005995723,0.013931,0.00877791,0.02135953,0.01874969
2016.04,0.00994133,0.00485755,0.00703750,0.00515681,0.45,59.7,0.052137464,-0.037920661,0.006543261,0.006672119,0.00401639,0.016382,-0.013699086,0.01942464,0.003822017
2017.01,0.00819040,0.00558280,0.00114764,0.00266789,0.7,60,-0.070622278,-0.037920661,0.012791185,0.004578936,0.000783041,-0.003514,-0.001838931,-0.005061182,-0.003718391
2017.02,0.01298009,0.00785345,0.00478128,0.00384990,0.95,60.1,-0.001659751,-2.3025851,0.011422293,0.016360334,0.013831993,-0.001933,0.000652816,-0.001348326,-0.000976512
2017.03,0.01734163,0.01120814,0.00791834,0.00576689,1.15,60.2,0.13950913,4.0943446,0.012744245,0.008818848,0.015488332,0.016573,0.015724633,0.02160817,0.02084012
2017.04,0.01444224,0.00810094,0.00837769,0.00718171,1.2,60.1,0.127349238,0.1541507,0.00898034,0.013992907,0.017919287,0.017116,0.007081314,0.02120266,0.01307964
2018.01,0.01233764,0.00529426,0.00544001,0.00518732,1.45,60.3,0.078561616,-0.5596158,0.004992014,0.016347396,0.012490498,0.023063,0.009330821,0.03851976,0.02991615
2018.02,0.01052701,0.00621770,0.00402095,0.00361130,1.74,60.5,0.025111995,-0.037920661,0.010439752,0.012585978,0.013036086,0.010103,0.008948718,0.01768356,0.01690082
2018.03,0.00571285,0.00141544,0.00404442,0.00572026,1.92,60.4,-0.166168322,0.2231436,0.009089395,0.011889446,0.017832074,0.015958,0.00997567,0.02867634,0.02590693
2018.04,0.00886399,0.00541651,0.00276614,0.00626239,2.22,60.6,-0.074654968,-0.037920661,0.011127253,0.020604371,0.020492176,0.017311,0.026537996,0.02561571,0.03385664
2019.01,0.01321024,0.00826157,0.00711719,0.00489036,2.4,60.6,0.086433667,-1.6094379,0.013521558,0.01184616,0.010271038,0.005523,0.016133636,0.01444461,0.02422074
2019.02,0.01437011,0.01125945,0.00340303,0.00577641,2.4,60.6,-0.058734055,1.6094379,0.014895949,0.012575811,0.00838542,-0.001498,0.018886051,0.003787882,0.0206559
2019.03,0.00954759,0.00639141,0.00700419,0.00585626,2.19,60.9,0.010412165,-3.912023,0.017943219,0.012364073,0.003187011,0.031527,0.047985412,0.0397104,0.05203378
2019.04,0.00992146,0.00521359,0.00526768,0.00494761,1.64,61,0.008628186,-0.042720744,0.011455346,0.011269344,0.011936655,0.017448993,0.017967718,0.019423606,0.019654033
