dates,cpi,core_cpi,gdp,real_gdp,fedfunds,emratio,wti_oil,divisia_m3,gov_total,gov_current,total_par,total_market,private_par,private_market
1981.01,87.93,85.9,781.05,1864.76,16.57,59.2,38,243.9,255.649,170.061,926.01,860.1,615.82,572.34
1981.02,89.77,87.8,790.63,1850.94,17.78,59.4,37.33,242.37,259.352,173.925,959.69,886.5,649.74,600.69
1981.03,92.27,90.77,815.15,1873.1,17.58,59,36,243,265.889,180.529,970.97,892.71,652.23,599.92
1981.04,93.77,92.53,820.2,1852.69,13.59,58.5,35.33,241.93,275.561,184.621,994.36,903.84,666.42,605.85
1982.01,94.6,93.67,818.58,1823.91,14.23,58.2,31.3,245.4,280.646,188.394,1026.8,973.84,698.24,661.34
1982.02,95.97,95.4,832.99,1832.23,14.51,58,34.82,248.3,287.536,191.888,1058.39,1001.06,729.65,689.15
1982.03,97.63,97,841.58,1825.22,11.01,57.7,34.58,250.27,296.487,198.634,1080.33,1030.44,742.4,706.88
1982.04,97.93,97.33,850.64,1825.95,9.29,57.3,33.85,255.87,305.572,207.101,1131.36,1133.26,788.84,787.87
1983.01,98,97.93,868.35,1850.02,8.65,57.1,29.65,260.33,311.41,207.874,1186.61,1208.33,844.65,857.19
1983.02,99.13,98.9,894.71,1892.11,8.8,57.5,30.54,274.73,313.911,213.129,1235.9,1260.8,897.11,912.37
1983.03,100.1,100.13,922.29,1929.94,9.46,58.2,31.56,264.97,322.259,216.075,1312.61,1311.87,943.07,940.1
1983.04,101.1,101.43,948.68,1970.2,9.43,58.6,29.83,267.4,324.878,214.864,1370.05,1358.29,991.45,980.84
1984.01,102.53,102.83,977.01,2008.71,9.69,59,30.2,270.57,330.189,218.736,1412.42,1401.17,1026.81,1016.6
1984.02,103.5,104.1,1002.4,2043.42,10.56,59.6,30.37,274.73,337.487,224.457,1469.13,1434.66,1078.15,1050.92
1984.03,104.4,105.4,1021.06,2063.12,11.39,59.7,29.1,278.47,345.034,228.578,1516.14,1448.85,1109.67,1058.59
1984.04,105.3,106.47,1037.14,2080.05,9.27,59.8,27.43,279.63,355.959,235.915,1581.48,1551.19,1164.18,1139.73
